Vehicle_ID,Start_Time (s),Start_Intersection,Start_Direction,End_Time (s),End_Intersection,End_Direction
2,2.9,1.0,3.0,170.8,5.0,1.0
13,4.3,1.0,3.0,60.4,3.0,1.0
15,28.7,1.0,1.0,175.7,5.0,1.0
17,30.4,1.0,1.0,177.6,5.0,1.0
21,23.5,1.0,3.0,29.4,1.0,3.0
22,13.2,5.0,2.0,14.6,5.0,2.0
24,31.1,1.0,3.0,34.9,1.0,3.0
27,15.2,5.0,2.0,17.1,5.0,2.0
31,17.5,5.0,2.0,18.9,5.0,2.0
36,33.9,1.0,1.0,157.7,5.0,2.0
39,32.2,1.0,1.0,179.9,5.0,1.0
45,29.9,5.0,3.0,29.9,5.0,3.0
49,32.0,5.0,3.0,32.4,5.0,3.0
50,36.1,1.0,1.0,186.2,5.0,1.0
53,36.3,1.0,1.0,173.0,5.0,1.0
56,34.4,5.0,3.0,34.4,5.0,3.0
59,39.4,1.0,1.0,181.9,5.0,1.0
60,41.9,1.0,1.0,105.8,3.0,3.0
63,43.4,1.0,1.0,129.0,3.0,2.0
70,44.0,1.0,1.0,116.7,4.0,3.0
72,44.6,5.0,2.0,45.5,5.0,2.0
75,121.3,1.0,1.0,281.8,5.0,1.0
85,51.9,1.0,1.0,175.1,5.0,1.0
89,53.3,1.0,1.0,177.7,5.0,1.0
95,120.4,1.0,1.0,276.7,5.0,1.0
103,61.0,4.0,3.0,81.9,5.0,1.0
115,63.5,1.0,2.0,77.0,2.0,2.0
119,68.2,1.0,2.0,188.0,5.0,1.0
123,67.7,3.0,3.0,68.0,3.0,3.0
142,81.7,1.0,3.0,189.5,5.0,1.0
165,96.0,5.0,1.0,99.0,5.0,1.0
166,86.8,1.0,3.0,160.6,2.0,2.0
169,86.8,2.0,1.0,90.9,2.0,1.0
170,89.5,1.0,3.0,270.4,5.0,1.0
176,89.7,2.0,1.0,94.3,2.0,1.0
177,92.5,1.0,3.0,271.6,5.0,1.0
197,100.3,2.0,1.0,103.8,2.0,1.0
200,106.0,1.0,2.0,274.6,5.0,1.0
205,107.3,5.0,2.0,108.1,5.0,2.0
210,109.1,5.0,2.0,110.4,5.0,2.0
220,122.4,4.0,1.0,178.9,5.0,1.0
222,124.3,1.0,1.0,167.3,2.0,2.0
224,125.9,1.0,3.0,127.1,1.0,3.0
227,124.1,2.0,3.0,184.1,5.0,1.0
234,131.3,1.0,2.0,134.8,1.0,2.0
236,133.9,1.0,2.0,136.5,1.0,2.0
237,135.8,5.0,3.0,135.9,5.0,3.0
239,136.7,1.0,3.0,271.3,5.0,1.0
240,139.6,1.0,1.0,252.6,5.0,2.0
245,142.6,1.0,1.0,227.7,3.0,2.0
246,143.5,5.0,2.0,144.8,5.0,2.0
247,144.5,1.0,1.0,276.1,5.0,1.0
250,157.9,5.0,2.0,161.2,5.0,2.0
251,178.1,5.0,1.0,182.3,5.0,1.0
252,148.0,1.0,1.0,281.8,5.0,3.0
253,152.4,1.0,1.0,284.2,5.0,1.0
254,154.3,1.0,1.0,228.9,3.0,2.0
256,221.2,1.0,1.0,369.4,5.0,1.0
259,166.2,1.0,3.0,169.3,1.0,3.0
261,167.8,1.0,2.0,288.2,5.0,1.0
262,219.7,1.0,1.0,289.3,5.0,1.0
265,170.2,1.0,2.0,190.5,2.0,3.0
267,208.9,1.0,2.0,211.3,1.0,2.0
271,222.2,1.0,3.0,223.7,1.0,3.0
307,202.5,1.0,2.0,291.3,5.0,1.0
332,201.3,2.0,1.0,204.6,2.0,1.0
334,228.2,1.0,1.0,375.6,5.0,1.0
335,226.2,1.0,3.0,228.1,1.0,3.0
337,206.1,1.0,2.0,288.1,5.0,1.0
339,208.3,5.0,2.0,209.8,5.0,2.0
342,210.2,5.0,2.0,211.3,5.0,2.0
343,212.5,5.0,2.0,213.5,5.0,2.0
344,211.7,1.0,2.0,214.2,1.0,2.0
