id,enter_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
584,19.69,66.14,5,W,5,N
585,23.53,66.44,5,W,5,N
586,27.59,66.74,5,W,5,N
587,32.44,67.04,5,W,5,N
588,36.19,67.34,5,W,5,N
589,37.38,67.64,5,W,5,N
590,42.25,67.94,5,W,5,N
591,46.35,68.24,5,W,5,N
686,36.30,80.14,5,E,5,N
687,82.42,88.55,5,E,5,N
688,85.09,91.23,5,E,5,N
310,39.76,100.10,1,W,2,W
3,12.74,100.40,1,S,1,W
6,31.70,100.70,1,S,1,W
7,32.16,101.00,1,S,1,W
8,36.53,101.30,1,S,1,W
21,68.51,101.60,1,S,1,W
689,98.30,104.44,5,E,5,N
29,93.66,107.79,1,S,1,W
10,39.27,113.20,1,S,1,E
20,63.80,113.50,1,S,1,E
25,80.52,113.80,1,S,1,E
28,93.10,114.10,1,S,1,E
471,32.07,130.97,3,W,5,N
472,36.58,131.27,3,W,5,N
525,53.24,131.87,3,E,5,N
37,122.03,136.16,1,S,1,E
0,4.95,136.17,1,S,3,E
38,125.82,139.96,1,S,1,E
32,100.39,144.12,1,S,2,W
527,97.18,158.95,3,E,5,N
592,81.02,166.04,5,W,5,N
593,94.39,166.34,5,W,5,N
594,121.64,166.64,5,W,5,N
595,123.47,166.94,5,W,5,N
596,136.48,167.24,5,W,5,N
597,157.39,167.54,5,W,5,N
598,157.78,167.84,5,W,5,N
599,160.10,168.14,5,W,5,N
600,162.96,169.10,5,W,5,N
601,164.34,170.48,5,W,5,N
602,166.40,172.54,5,W,5,N
690,112.16,180.04,5,E,5,N
691,151.28,180.34,5,E,5,N
692,155.51,180.64,5,E,5,N
693,191.66,197.79,5,E,5,N
694,193.08,199.21,5,E,5,N
15,50.96,199.60,1,S,3,E
522,10.34,199.80,3,E,5,W
523,15.03,200.10,3,E,5,W
314,75.51,200.20,1,W,2,W
524,51.60,200.40,3,E,5,W
316,120.09,200.50,1,W,2,W
473,70.53,200.70,3,W,5,W
31,98.99,200.80,1,S,1,W
526,92.30,201.00,3,E,5,W
35,106.44,201.10,1,S,1,W
429,13.53,201.30,2,W,5,W
36,107.32,201.40,1,S,1,W
430,40.66,201.60,2,W,5,W
43,141.82,201.70,1,S,1,W
431,68.35,201.90,2,W,5,W
48,157.27,202.00,1,S,1,W
372,22.03,202.20,1,E,5,W
58,174.40,202.30,1,S,1,W
376,63.07,202.50,1,E,5,W
61,176.78,202.60,1,S,1,W
66,190.33,204.47,1,S,1,W
67,195.50,209.64,1,S,1,W
433,105.19,212.37,2,W,3,E
47,153.62,213.60,1,S,1,E
50,162.00,213.90,1,S,1,E
56,171.56,214.20,1,S,1,E
2,12.38,215.80,1,S,5,E
309,37.59,216.10,1,W,5,E
71,203.93,218.07,1,S,1,E
72,206.79,220.93,1,S,1,E
432,93.75,221.94,2,W,5,N
1,8.00,222.24,1,S,5,N
4,15.63,222.54,1,S,5,N
5,21.37,222.84,1,S,5,N
373,40.36,223.14,1,E,5,N
374,60.65,223.44,1,E,5,N
375,62.69,223.74,1,E,5,N
377,70.20,224.04,1,E,5,N
378,70.48,224.34,1,E,5,N
379,84.72,224.64,1,E,5,N
477,110.92,225.53,3,W,5,E
536,167.21,227.03,3,E,5,E
528,135.10,230.77,3,E,5,N
474,101.25,231.07,3,W,5,N
529,137.12,231.37,3,E,5,N
