time,type,intersection,direction,turning_left,vehicle
0.00,TurnGreenLeft,1,N,null,null
0.00,TurnRedThrough,1,W,null,null
0.00,TurnGreenThrough,3,N,null,null
0.00,TurnRedThrough,3,W,null,null
0.00,TurnGreenThrough,2,N,null,null
0.00,TurnRedThrough,2,W,null,null
0.00,TurnGreenLeft,5,N,null,null
0.00,TurnRedThrough,5,W,null,null
10.60,TurnRedLeft,1,N,null,null
12.40,TurnRedLeft,5,N,null,null
12.80,TurnGreenThrough,1,N,null,null
16.00,TurnGreenThrough,5,N,null,null
44.70,TurnRedThrough,2,N,null,null
51.10,TurnRedThrough,1,N,null,null
53.80,TurnRedThrough,5,N,null,null
64.10,TurnRedThrough,3,N,null,null
67.80,TurnGreenThrough,1,W,null,null
69.20,TurnGreenThrough,3,W,null,null
74.00,TurnGreenThrough,5,W,null,null
76.20,TurnGreenThrough,2,W,null,null
99.80,TurnRedThrough,3,E,null,null
99.90,TurnRedThrough,5,E,null,null
99.90,TurnRedLeft,5,E,null,null
100.10,TurnRedThrough,2,E,null,null
100.40,TurnRedThrough,1,E,null,null
155.40,TurnGreenLeft,1,E,null,null
159.90,TurnGreenLeft,5,E,null,null
165.20,TurnRedLeft,1,E,null,null
167.00,TurnGreenThrough,1,E,null,null
169.00,TurnGreenThrough,3,E,null,null
173.30,TurnRedLeft,5,E,null,null
176.30,TurnGreenThrough,2,E,null,null
199.60,TurnGreenThrough,3,N,null,null
199.60,TurnRedThrough,3,W,null,null
199.80,TurnGreenLeft,5,N,null,null
199.80,TurnRedThrough,5,W,null,null
200.20,TurnGreenThrough,2,N,null,null
200.20,TurnRedThrough,2,W,null,null
200.80,TurnGreenLeft,1,N,null,null
200.80,TurnRedThrough,1,W,null,null
211.40,TurnRedLeft,1,N,null,null
212.20,TurnRedLeft,5,N,null,null
213.60,TurnGreenThrough,1,N,null,null
215.80,TurnGreenThrough,5,N,null,null
233.50,TurnGreenThrough,5,E,null,null
244.90,TurnRedThrough,2,N,null,null
251.90,TurnRedThrough,1,N,null,null
253.60,TurnRedThrough,5,N,null,null
263.70,TurnRedThrough,3,N,null,null
268.60,TurnGreenThrough,1,W,null,null
268.80,TurnGreenThrough,3,W,null,null
273.80,TurnGreenThrough,5,W,null,null
276.40,TurnGreenThrough,2,W,null,null
299.40,TurnRedThrough,3,E,null,null
299.70,TurnRedThrough,5,E,null,null
299.70,TurnRedLeft,5,E,null,null
300.30,TurnRedThrough,2,E,null,null
301.20,TurnRedThrough,1,E,null,null
356.20,TurnGreenLeft,1,E,null,null
359.70,TurnGreenLeft,5,E,null,null
366.00,TurnRedLeft,1,E,null,null
367.80,TurnGreenThrough,1,E,null,null
368.60,TurnGreenThrough,3,E,null,null
373.10,TurnRedLeft,5,E,null,null
376.50,TurnGreenThrough,2,E,null,null
399.20,TurnGreenThrough,3,N,null,null
399.20,TurnRedThrough,3,W,null,null
399.60,TurnGreenLeft,5,N,null,null
399.60,TurnRedThrough,5,W,null,null
400.40,TurnGreenThrough,2,N,null,null
400.40,TurnRedThrough,2,W,null,null
401.60,TurnGreenLeft,1,N,null,null
401.60,TurnRedThrough,1,W,null,null
412.00,TurnRedLeft,5,N,null,null
412.20,TurnRedLeft,1,N,null,null
414.40,TurnGreenThrough,1,N,null,null
415.60,TurnGreenThrough,5,N,null,null
433.30,TurnGreenThrough,5,E,null,null
445.10,TurnRedThrough,2,N,null,null
452.70,TurnRedThrough,1,N,null,null
453.40,TurnRedThrough,5,N,null,null
463.30,TurnRedThrough,3,N,null,null
468.40,TurnGreenThrough,3,W,null,null
469.40,TurnGreenThrough,1,W,null,null
473.60,TurnGreenThrough,5,W,null,null
476.60,TurnGreenThrough,2,W,null,null
499.00,TurnRedThrough,3,E,null,null
499.50,TurnRedThrough,5,E,null,null
499.50,TurnRedLeft,5,E,null,null
500.50,TurnRedThrough,2,E,null,null
502.00,TurnRedThrough,1,E,null,null
557.00,TurnGreenLeft,1,E,null,null
559.50,TurnGreenLeft,5,E,null,null
566.80,TurnRedLeft,1,E,null,null
568.20,TurnGreenThrough,3,E,null,null
568.60,TurnGreenThrough,1,E,null,null
572.90,TurnRedLeft,5,E,null,null
576.70,TurnGreenThrough,2,E,null,null
598.80,TurnGreenThrough,3,N,null,null
598.80,TurnRedThrough,3,W,null,null
599.40,TurnGreenLeft,5,N,null,null
599.40,TurnRedThrough,5,W,null,null
600.60,TurnGreenThrough,2,N,null,null
600.60,TurnRedThrough,2,W,null,null
602.40,TurnRedThrough,1,W,null,null
602.40,TurnGreenLeft,1,N,null,null
611.80,TurnRedLeft,5,N,null,null
613.00,TurnRedLeft,1,N,null,null
615.20,TurnGreenThrough,1,N,null,null
615.40,TurnGreenThrough,5,N,null,null
633.10,TurnGreenThrough,5,E,null,null
645.30,TurnRedThrough,2,N,null,null
653.20,TurnRedThrough,5,N,null,null
653.50,TurnRedThrough,1,N,null,null
662.90,TurnRedThrough,3,N,null,null
668.00,TurnGreenThrough,3,W,null,null
670.20,TurnGreenThrough,1,W,null,null
673.40,TurnGreenThrough,5,W,null,null
676.80,TurnGreenThrough,2,W,null,null
698.60,TurnRedThrough,3,E,null,null
699.30,TurnRedThrough,5,E,null,null
699.30,TurnRedLeft,5,E,null,null
700.70,TurnRedThrough,2,E,null,null
702.80,TurnRedThrough,1,E,null,null
757.80,TurnGreenLeft,1,E,null,null
759.30,TurnGreenLeft,5,E,null,null
767.60,TurnRedLeft,1,E,null,null
767.80,TurnGreenThrough,3,E,null,null
769.40,TurnGreenThrough,1,E,null,null
772.70,TurnRedLeft,5,E,null,null
776.90,TurnGreenThrough,2,E,null,null
798.40,TurnRedThrough,3,W,null,null
798.40,TurnGreenThrough,3,N,null,null
799.20,TurnGreenLeft,5,N,null,null
799.20,TurnRedThrough,5,W,null,null
800.80,TurnRedThrough,2,W,null,null
800.80,TurnGreenThrough,2,N,null,null
803.20,TurnGreenLeft,1,N,null,null
803.20,TurnRedThrough,1,W,null,null
811.60,TurnRedLeft,5,N,null,null
813.80,TurnRedLeft,1,N,null,null
815.20,TurnGreenThrough,5,N,null,null
816.00,TurnGreenThrough,1,N,null,null
832.90,TurnGreenThrough,5,E,null,null
845.50,TurnRedThrough,2,N,null,null
853.00,TurnRedThrough,5,N,null,null
854.30,TurnRedThrough,1,N,null,null
862.50,TurnRedThrough,3,N,null,null
867.60,TurnGreenThrough,3,W,null,null
871.00,TurnGreenThrough,1,W,null,null
873.20,TurnGreenThrough,5,W,null,null
877.00,TurnGreenThrough,2,W,null,null
898.20,TurnRedThrough,3,E,null,null
899.10,TurnRedThrough,5,E,null,null
899.10,TurnRedLeft,5,E,null,null
900.90,TurnRedThrough,2,E,null,null
903.60,TurnRedThrough,1,E,null,null
958.60,TurnGreenLeft,1,E,null,null
959.10,TurnGreenLeft,5,E,null,null
967.40,TurnGreenThrough,3,E,null,null
968.40,TurnRedLeft,1,E,null,null
970.20,TurnGreenThrough,1,E,null,null
972.50,TurnRedLeft,5,E,null,null
977.10,TurnGreenThrough,2,E,null,null
998.00,TurnRedThrough,3,W,null,null
998.00,TurnGreenThrough,3,N,null,null
999.00,TurnGreenLeft,5,N,null,null
999.00,TurnRedThrough,5,W,null,null
1001.00,TurnGreenThrough,2,N,null,null
1001.00,TurnRedThrough,2,W,null,null
1004.00,TurnGreenLeft,1,N,null,null
1004.00,TurnRedThrough,1,W,null,null
1011.40,TurnRedLeft,5,N,null,null
1014.60,TurnRedLeft,1,N,null,null
1015.00,TurnGreenThrough,5,N,null,null
1016.80,TurnGreenThrough,1,N,null,null
1032.70,TurnGreenThrough,5,E,null,null
1045.70,TurnRedThrough,2,N,null,null
1052.80,TurnRedThrough,5,N,null,null
1055.10,TurnRedThrough,1,N,null,null
1062.10,TurnRedThrough,3,N,null,null
1067.20,TurnGreenThrough,3,W,null,null
1071.80,TurnGreenThrough,1,W,null,null
1073.00,TurnGreenThrough,5,W,null,null
1077.20,TurnGreenThrough,2,W,null,null
1097.80,TurnRedThrough,3,E,null,null
1098.90,TurnRedLeft,5,E,null,null
1098.90,TurnRedThrough,5,E,null,null
1101.10,TurnRedThrough,2,E,null,null
1104.40,TurnRedThrough,1,E,null,null
1158.90,TurnGreenLeft,5,E,null,null
