id,enter_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
568,11.12,66.44,5,W,5,N
569,12.18,66.74,5,W,5,N
570,22.21,67.04,5,W,5,N
571,22.40,67.34,5,W,5,N
572,23.18,67.64,5,W,5,N
573,27.09,67.94,5,W,5,N
574,28.73,68.24,5,W,5,N
575,29.20,68.54,5,W,5,N
576,43.30,68.84,5,W,5,N
577,47.87,69.14,5,W,5,N
578,70.32,76.45,5,W,5,N
665,7.63,80.44,5,E,5,N
666,11.80,80.74,5,E,5,N
667,26.51,81.04,5,E,5,N
668,31.71,81.34,5,E,5,N
539,42.73,81.64,4,E,5,N
669,67.04,81.94,5,E,5,N
670,67.75,82.24,5,E,5,N
540,84.49,90.62,4,E,5,N
0,3.98,100.70,1,S,1,W
10,35.44,101.00,1,S,1,W
312,35.16,105.80,1,E,2,W
23,94.21,108.35,1,S,1,W
28,105.33,119.46,1,S,1,E
408,32.29,131.27,3,W,5,N
466,2.15,131.27,3,E,5,N
409,65.28,131.57,3,W,5,N
467,6.79,131.57,3,E,5,N
469,43.75,132.17,3,E,5,N
4,17.27,137.37,1,S,3,W
5,19.18,137.67,1,S,3,W
8,29.49,138.57,1,S,3,E
470,81.67,143.44,3,E,5,N
471,84.86,146.63,3,E,5,N
315,87.75,149.94,1,E,3,W
410,95.65,151.29,3,W,5,E
579,74.55,166.34,5,W,5,N
580,79.26,166.64,5,W,5,N
581,92.35,166.94,5,W,5,N
582,96.94,167.24,5,W,5,N
583,101.74,167.54,5,W,5,N
584,106.10,167.84,5,W,5,N
585,110.25,168.14,5,W,5,N
586,129.14,168.44,5,W,5,N
587,132.49,168.74,5,W,5,N
588,134.31,169.04,5,W,5,N
589,134.53,169.34,5,W,5,N
590,144.55,169.64,5,W,5,N
591,149.28,169.94,5,W,5,N
592,153.14,170.24,5,W,5,N
593,156.29,170.54,5,W,5,N
594,157.69,170.84,5,W,5,N
595,162.32,171.14,5,W,5,N
596,163.41,171.44,5,W,5,N
597,166.38,172.52,5,W,5,N
598,169.70,175.84,5,W,5,N
599,171.96,178.09,5,W,5,N
671,115.02,180.34,5,E,5,N
672,118.30,180.64,5,E,5,N
541,134.40,180.94,4,E,5,N
673,156.72,181.24,5,E,5,N
674,161.80,181.54,5,E,5,N
675,164.65,181.84,5,E,5,N
676,169.58,182.14,5,E,5,N
542,178.53,184.67,4,E,5,N
543,185.09,191.23,4,E,5,N
468,6.99,200.10,3,E,5,W
369,22.07,200.40,2,W,5,W
371,73.81,200.70,2,W,5,W
544,194.70,200.83,4,E,5,N
1,5.24,201.00,1,S,5,W
54,186.26,201.10,1,S,1,W
7,26.27,201.30,1,S,5,W
247,22.06,201.60,1,W,5,W
249,38.36,201.90,1,W,5,W
34,116.57,202.00,1,S,2,E
311,2.17,202.20,1,E,5,W
313,73.80,202.50,1,E,5,W
22,89.57,203.20,1,S,3,E
316,93.74,211.56,1,E,5,W
3,14.86,217.00,1,S,5,E
250,42.11,218.80,1,W,5,E
472,99.24,222.24,3,E,5,N
370,45.41,222.54,2,W,5,N
2,5.99,222.84,1,S,5,N
6,23.88,223.44,1,S,5,N
9,32.80,223.74,1,S,5,N
245,2.03,224.04,1,W,5,N
246,6.95,224.34,1,W,5,N
248,34.62,224.64,1,W,5,N
251,61.91,225.24,1,W,5,N
252,63.85,225.54,1,W,5,N
314,82.92,225.84,1,E,5,N
473,138.48,231.07,3,E,5,N
413,135.65,231.67,3,W,5,N
414,136.78,231.97,3,W,5,N
415,138.07,232.27,3,W,5,N
416,169.99,232.57,3,W,5,N
32,113.57,237.47,1,S,3,W
474,177.93,239.70,3,E,5,N
42,148.90,240.92,1,S,2,W
475,182.40,244.17,3,E,5,N
476,185.06,246.83,3,E,5,N
600,185.41,266.24,5,W,5,N
601,193.65,266.54,5,W,5,N
602,213.22,266.84,5,W,5,N
603,216.89,267.14,5,W,5,N
604,222.71,267.44,5,W,5,N
605,226.82,267.74,5,W,5,N
606,235.51,268.04,5,W,5,N
607,238.13,268.34,5,W,5,N
608,263.66,269.80,5,W,5,N
609,263.95,270.09,5,W,5,N
610,266.38,272.52,5,W,5,N
611,267.90,274.04,5,W,5,N
677,218.31,280.24,5,E,5,N
545,240.55,280.54,4,E,5,N
678,264.97,280.84,5,E,5,N
679,279.80,285.93,5,E,5,N
546,288.55,294.68,4,E,5,N
411,128.66,300.00,3,W,5,W
412,131.57,300.30,3,W,5,W
57,202.76,300.60,1,S,2,W
11,39.91,300.60,1,S,5,W
12,40.62,300.90,1,S,5,W
17,62.54,301.20,1,S,5,W
61,224.28,301.50,1,S,1,W
19,70.56,301.50,1,S,5,W
64,233.19,301.80,1,S,1,W
24,96.03,301.80,1,S,5,W
68,243.57,302.10,1,S,1,W
25,97.05,302.10,1,S,5,W
69,244.98,302.40,1,S,1,W
372,103.53,302.40,2,W,5,W
74,275.62,302.70,1,S,1,W
33,114.53,302.70,1,S,5,W
51,179.47,303.00,1,S,3,E
37,132.78,303.00,1,S,5,W
38,133.46,303.30,1,S,5,W
254,118.94,303.60,1,W,5,W
255,137.03,303.90,1,W,5,W
318,127.51,304.20,1,E,5,W
79,296.30,310.43,1,S,1,W
376,213.63,312.77,2,W,3,W
18,66.38,317.20,1,S,5,E
373,128.37,318.70,2,W,5,E
13,41.47,322.14,1,S,5,N
14,45.10,322.44,1,S,5,N
15,48.00,322.74,1,S,5,N
16,57.57,323.04,1,S,5,N
20,75.10,323.64,1,S,5,N
21,79.98,323.94,1,S,5,N
26,98.01,324.24,1,S,5,N
27,102.60,324.54,1,S,5,N
374,156.76,325.14,2,W,5,N
419,235.63,325.33,3,W,5,E
375,185.74,325.44,2,W,5,N
29,107.70,325.74,1,S,5,N
30,110.00,326.04,1,S,5,N
31,111.94,326.34,1,S,5,N
35,119.83,326.64,1,S,5,N
36,130.99,326.94,1,S,5,N
253,81.82,327.24,1,W,5,N
317,115.12,327.54,1,E,5,N
319,142.10,327.84,1,E,5,N
320,169.62,328.14,1,E,5,N
321,174.46,328.44,1,E,5,N
418,234.71,331.17,3,W,5,N
478,202.62,331.17,3,E,5,N
420,240.46,331.77,3,W,5,N
422,248.31,332.37,3,W,5,N
260,248.23,340.27,1,W,3,E
67,241.22,340.42,1,S,2,W
423,282.65,344.42,3,W,5,N
485,284.95,346.72,3,E,5,N
486,294.99,356.76,3,E,5,N
612,283.06,366.14,5,W,5,N
613,295.38,366.44,5,W,5,N
614,310.52,366.74,5,W,5,N
615,322.20,367.04,5,W,5,N
616,326.98,367.34,5,W,5,N
617,347.88,367.64,5,W,5,N
618,367.04,373.18,5,W,5,N
619,370.21,376.35,5,W,5,N
680,327.31,380.14,5,E,5,N
547,331.34,380.44,4,E,5,N
548,339.01,380.74,4,E,5,N
681,339.04,381.04,5,E,5,N
682,341.24,381.34,5,E,5,N
683,377.71,383.85,5,E,5,N
549,386.87,393.01,4,E,5,N
550,393.57,399.70,4,E,5,N
322,198.65,399.90,1,E,5,W
417,203.17,400.20,3,W,5,W
477,199.62,400.50,3,E,5,W
479,215.27,400.80,3,E,5,W
480,226.68,401.10,3,E,5,W
421,243.87,401.40,3,W,5,W
481,240.70,401.70,3,E,5,W
86,323.50,401.90,1,S,1,W
482,245.62,402.00,3,E,5,W
90,332.94,402.20,1,S,1,W
483,281.19,402.30,3,E,5,W
101,370.40,402.50,1,S,1,W
484,284.90,402.60,3,E,5,W
104,374.66,402.80,1,S,1,W
40,143.98,402.90,1,S,5,W
45,158.66,403.20,1,S,5,W
49,171.38,403.50,1,S,5,W
52,181.58,403.80,1,S,5,W
63,230.92,404.10,1,S,5,W
66,237.51,404.40,1,S,5,W
256,167.07,404.70,1,W,5,W
43,153.38,416.50,1,S,5,E
99,366.49,416.80,1,S,1,E
55,195.20,418.60,1,S,5,E
39,139.80,422.04,1,S,5,N
259,229.27,422.20,1,W,5,E
41,146.93,422.34,1,S,5,N
44,156.61,422.94,1,S,5,N
46,162.14,423.24,1,S,5,N
47,166.30,423.54,1,S,5,N
48,170.43,423.84,1,S,5,N
50,175.47,424.14,1,S,5,N
53,183.90,424.44,1,S,5,N
56,199.92,425.04,1,S,5,N
377,238.67,425.34,2,W,5,N
378,264.14,425.64,2,W,5,N
379,290.57,425.94,2,W,5,N
58,203.12,426.24,1,S,5,N
59,208.22,426.54,1,S,5,N
60,220.43,426.84,1,S,5,N
62,229.10,427.14,1,S,5,N
65,234.91,427.44,1,S,5,N
257,168.45,427.74,1,W,5,N
258,185.25,428.04,1,W,5,N
323,201.26,428.64,1,E,5,N
324,234.17,428.94,1,E,5,N
325,237.90,429.24,1,E,5,N
326,258.41,429.54,1,E,5,N
327,263.89,429.84,1,E,5,N
328,266.82,430.14,1,E,5,N
329,283.74,430.44,1,E,5,N
330,295.37,430.74,1,E,5,N
424,315.71,431.04,3,W,5,N
425,347.57,431.34,3,W,5,N
488,343.25,431.64,3,E,5,N
84,312.84,437.67,1,S,3,E
426,381.56,443.33,3,W,5,N
490,381.79,443.56,3,E,5,N
427,385.24,447.01,3,W,5,N
428,388.90,450.67,3,W,5,N
620,394.81,466.04,5,W,5,N
621,394.99,466.34,5,W,5,N
622,397.38,466.64,5,W,5,N
623,408.31,466.94,5,W,5,N
624,412.70,467.24,5,W,5,N
625,415.02,467.54,5,W,5,N
626,415.76,467.84,5,W,5,N
627,455.59,468.14,5,W,5,N
684,414.87,480.04,5,E,5,N
685,428.80,480.34,5,E,5,N
551,442.12,480.64,4,E,5,N
686,475.90,482.03,5,E,5,N
687,482.15,488.29,5,E,5,N
552,489.78,495.91,4,E,5,N
487,332.83,499.80,3,E,5,W
489,346.16,500.10,3,E,5,W
70,249.49,500.40,1,S,5,W
71,251.42,500.70,1,S,5,W
73,258.12,501.00,1,S,5,W
98,362.05,501.10,1,S,3,E
75,280.41,501.30,1,S,5,W
381,344.63,501.60,2,W,5,W
82,308.26,501.90,1,S,5,W
91,336.34,502.20,1,S,5,W
112,402.98,502.30,1,S,1,W
266,328.08,502.50,1,W,5,W
118,435.76,502.60,1,S,1,W
267,333.91,502.80,1,W,5,W
121,442.74,502.90,1,S,1,W
333,335.31,503.10,1,E,5,W
138,486.08,503.20,1,S,1,W
270,397.19,503.80,1,W,2,W
271,399.80,504.10,1,W,2,W
340,451.87,507.10,1,E,2,W
139,494.75,508.88,1,S,1,W
385,428.39,513.27,2,W,3,W
128,454.44,517.20,1,S,1,E
134,472.90,519.00,1,S,1,E
89,332.32,519.70,1,S,5,E
72,255.14,521.94,1,S,5,N
76,283.68,522.24,1,S,5,N
77,285.46,522.54,1,S,5,N
78,291.79,522.84,1,S,5,N
80,300.91,523.14,1,S,5,N
380,318.19,523.44,2,W,5,N
382,371.60,523.74,2,W,5,N
383,384.65,524.04,2,W,5,N
81,305.75,524.34,1,S,5,N
83,311.04,524.64,1,S,5,N
85,319.54,524.94,1,S,5,N
87,327.75,525.24,1,S,5,N
88,327.84,525.54,1,S,5,N
261,266.92,526.14,1,W,5,N
262,301.31,526.44,1,W,5,N
263,305.13,526.74,1,W,5,N
264,324.23,527.04,1,W,5,N
265,327.19,527.34,1,W,5,N
268,350.03,527.64,1,W,5,N
331,307.07,527.94,1,E,5,N
332,331.03,528.24,1,E,5,N
334,338.37,528.54,1,E,5,N
335,373.78,528.84,1,E,5,N
492,430.42,530.77,3,E,5,N
430,422.13,530.77,3,W,5,N
493,431.23,531.07,3,E,5,N
432,426.48,531.37,3,W,5,N
494,433.11,531.37,3,E,5,N
433,429.50,531.67,3,W,5,N
496,448.05,531.97,3,E,5,N
434,431.24,531.97,3,W,5,N
435,436.12,532.27,3,W,5,N
436,439.71,532.57,3,W,5,N
437,443.30,532.87,3,W,5,N
438,443.52,533.17,3,W,5,N
439,446.98,533.47,3,W,5,N
440,451.94,533.77,3,W,5,N
119,437.89,539.27,1,S,3,W
443,484.75,540.38,3,W,5,E
124,448.28,542.12,1,S,2,W
133,472.69,544.82,1,S,2,W
441,483.49,545.26,3,W,5,N
497,483.63,545.40,3,E,5,N
442,483.72,545.49,3,W,5,N
499,495.60,557.37,3,E,5,N
628,489.09,565.94,5,W,5,N
629,515.71,566.24,5,W,5,N
630,519.70,566.54,5,W,5,N
631,547.56,566.84,5,W,5,N
632,567.78,573.92,5,W,5,N
633,570.88,577.02,5,W,5,N
688,531.73,579.94,5,E,5,N
553,531.74,580.24,4,E,5,N
689,578.49,584.63,5,E,5,N
554,581.54,587.68,4,E,5,N
690,590.12,596.26,5,E,5,N
555,590.90,597.03,4,E,5,N
122,444.34,599.40,1,S,3,W
429,419.52,599.70,3,W,5,W
491,419.51,600.00,3,E,5,W
431,426.18,600.30,3,W,5,W
495,447.81,600.60,3,E,5,W
129,459.00,600.90,1,S,3,E
444,484.75,600.90,3,W,5,W
498,495.14,601.20,3,E,5,W
92,340.59,601.50,1,S,5,W
137,483.10,601.50,1,S,2,W
100,368.09,601.80,1,S,5,W
109,390.94,602.10,1,S,5,W
115,412.40,602.40,1,S,5,W
116,428.87,602.70,1,S,5,W
141,501.32,602.70,1,S,1,W
117,432.71,603.00,1,S,5,W
147,522.23,603.00,1,S,1,W
269,395.77,603.30,1,W,5,W
154,544.84,603.30,1,S,1,W
272,437.98,603.60,1,W,5,W
158,553.09,603.60,1,S,1,W
273,442.12,603.90,1,W,5,W
162,577.66,603.90,1,S,1,W
276,449.92,604.20,1,W,5,W
278,479.25,605.40,1,W,2,W
279,505.29,605.70,1,W,2,E
280,530.94,606.00,1,W,2,W
156,546.41,616.10,1,S,1,E
164,586.51,617.90,1,S,1,E
387,484.12,619.60,2,W,5,E
93,343.63,621.84,1,S,5,N
94,345.88,622.14,1,S,5,N
95,352.08,622.44,1,S,5,N
96,353.48,622.74,1,S,5,N
97,361.12,623.04,1,S,5,N
102,372.36,623.34,1,S,5,N
103,374.32,623.64,1,S,5,N
105,378.55,623.94,1,S,5,N
106,381.75,624.24,1,S,5,N
107,384.61,624.54,1,S,5,N
108,388.52,624.84,1,S,5,N
384,413.72,625.14,2,W,5,N
386,455.46,625.44,2,W,5,N
110,395.26,626.04,1,S,5,N
111,398.75,626.34,1,S,5,N
113,403.33,626.64,1,S,5,N
114,411.46,626.94,1,S,5,N
274,445.48,627.24,1,W,5,N
275,448.10,627.54,1,W,5,N
336,412.94,627.84,1,E,5,N
337,438.49,628.14,1,E,5,N
169,614.06,628.20,1,S,1,E
338,443.38,628.44,1,E,5,N
339,448.67,628.74,1,E,5,N
341,472.06,629.04,1,E,5,N
500,531.55,630.27,3,E,5,N
446,520.47,630.57,3,W,5,N
448,556.32,631.17,3,W,5,N
170,617.35,631.49,1,S,1,E
502,571.29,633.06,3,E,5,N
135,475.90,636.97,1,S,3,E
143,513.64,638.47,1,S,3,W
504,577.38,639.15,3,E,5,N
155,545.61,641.92,1,S,2,W
449,589.39,651.16,3,W,5,N
634,586.19,665.84,5,W,5,N
635,588.97,666.14,5,W,5,N
636,590.62,666.44,5,W,5,N
637,592.01,666.74,5,W,5,N
638,592.50,667.04,5,W,5,N
639,596.27,667.34,5,W,5,N
640,596.81,667.64,5,W,5,N
641,633.92,667.94,5,W,5,N
642,638.53,668.24,5,W,5,N
643,639.52,668.54,5,W,5,N
644,642.17,668.84,5,W,5,N
645,646.40,669.14,5,W,5,N
691,627.63,679.84,5,E,5,N
556,640.43,680.14,4,E,5,N
557,648.74,680.44,4,E,5,N
692,674.03,680.74,5,E,5,N
558,692.66,698.80,4,E,5,N
157,548.95,699.20,1,S,3,W
159,557.23,699.50,1,S,3,W
445,518.30,699.60,3,W,5,W
501,568.91,699.90,3,E,5,W
447,553.29,700.20,3,W,5,W
503,573.53,700.50,3,E,5,W
125,451.17,700.80,1,S,5,W
126,452.36,701.10,1,S,5,W
167,604.72,701.30,1,S,3,E
132,468.10,701.40,1,S,5,W
149,532.15,701.70,1,S,5,W
152,536.16,702.00,1,S,5,W
281,535.29,702.30,1,W,5,W
173,625.18,703.10,1,S,1,W
174,630.03,703.40,1,S,1,W
176,635.62,703.70,1,S,1,W
177,635.63,704.00,1,S,1,W
178,638.18,704.30,1,S,1,W
179,644.51,704.60,1,S,1,W
559,698.55,704.68,4,E,5,N
184,670.35,704.90,1,S,1,W
188,690.97,705.11,1,S,1,W
189,693.45,707.59,1,S,1,W
350,643.32,707.60,1,E,2,W
351,653.06,707.90,1,E,2,W
190,695.69,709.83,1,S,1,W
131,464.65,716.80,1,S,5,E
390,544.68,717.70,2,W,5,E
140,498.81,718.90,1,S,5,E
120,441.73,721.74,1,S,5,N
123,448.15,722.04,1,S,5,N
127,452.57,722.34,1,S,5,N
130,463.78,722.64,1,S,5,N
388,506.25,723.24,2,W,5,N
389,516.94,723.54,2,W,5,N
391,572.23,724.14,2,W,5,N
392,598.28,724.44,2,W,5,N
136,480.21,724.74,1,S,5,N
142,505.48,725.34,1,S,5,N
144,516.03,725.64,1,S,5,N
145,518.96,725.94,1,S,5,N
146,519.50,726.24,1,S,5,N
148,523.99,726.54,1,S,5,N
150,533.21,726.84,1,S,5,N
151,533.66,727.14,1,S,5,N
277,478.27,727.44,1,W,5,N
282,537.44,727.74,1,W,5,N
342,505.30,728.04,1,E,5,N
343,542.94,728.34,1,E,5,N
344,563.34,728.64,1,E,5,N
345,595.91,728.94,1,E,5,N
505,615.50,730.07,3,E,5,N
507,622.50,730.67,3,E,5,N
452,621.50,730.67,3,W,5,N
508,626.02,730.97,3,E,5,N
453,656.42,730.97,3,W,5,N
509,640.80,731.27,3,E,5,N
512,665.35,732.17,3,E,5,N
513,669.64,732.47,3,E,5,N
286,580.32,738.87,1,W,3,E
352,665.17,744.27,1,E,3,W
354,667.80,744.87,1,E,3,W
515,688.33,750.10,3,E,5,N
454,688.85,750.62,3,W,5,N
516,690.16,751.93,3,E,5,N
517,694.23,756.00,3,E,5,N
646,676.22,765.74,5,W,5,N
647,678.17,766.04,5,W,5,N
648,681.81,766.34,5,W,5,N
649,700.08,766.64,5,W,5,N
650,729.17,766.94,5,W,5,N
651,764.49,770.62,5,W,5,N
652,765.98,772.12,5,W,5,N
653,766.91,773.04,5,W,5,N
560,708.54,779.74,4,E,5,N
693,719.65,780.04,5,E,5,N
694,725.67,780.34,5,E,5,N
561,754.80,780.64,4,E,5,N
695,762.21,780.94,5,E,5,N
696,773.78,781.24,5,E,5,N
697,777.08,783.22,5,E,5,N
182,660.96,799.30,1,S,3,E
450,620.35,799.50,3,W,5,W
506,618.39,799.80,3,E,5,W
451,620.49,800.10,3,W,5,W
510,642.50,800.40,3,E,5,W
511,655.11,800.70,3,E,5,W
514,673.76,801.00,3,E,5,W
153,540.43,801.30,1,S,5,W
160,558.77,801.60,1,S,5,W
163,582.48,801.90,1,S,5,W
562,795.97,802.11,4,E,5,N
166,599.16,802.20,1,S,5,W
168,605.00,802.50,1,S,5,W
395,667.96,802.80,2,W,5,W
175,633.31,803.10,1,S,5,W
301,719.23,803.20,1,W,2,W
285,577.34,803.40,1,W,5,W
191,704.21,803.50,1,S,1,W
289,601.04,803.70,1,W,5,W
194,716.18,803.80,1,S,1,W
292,639.05,804.00,1,W,5,W
197,737.09,804.10,1,S,1,W
295,656.43,804.30,1,W,5,W
360,746.34,804.40,1,E,2,W
198,738.15,804.40,1,S,1,W
346,614.80,804.60,1,E,5,W
200,742.32,804.70,1,S,1,W
347,618.77,804.90,1,E,5,W
205,763.89,805.00,1,S,1,W
348,620.40,805.20,1,E,5,W
208,774.33,805.30,1,S,1,W
355,674.88,805.50,1,E,5,W
212,783.65,805.60,1,S,1,W
518,698.15,821.64,3,E,5,N
161,573.90,821.94,1,S,5,N
165,588.60,822.24,1,S,5,N
393,627.03,822.54,2,W,5,N
394,641.70,822.84,2,W,5,N
396,696.18,823.14,2,W,5,N
171,622.22,823.44,1,S,5,N
455,722.24,823.73,3,W,5,E
172,623.35,823.74,1,S,5,N
283,571.97,824.04,1,W,5,N
284,574.65,824.34,1,W,5,N
287,582.43,824.64,1,W,5,N
288,585.48,824.94,1,W,5,N
290,604.27,825.24,1,W,5,N
291,608.66,825.54,1,W,5,N
293,654.77,825.84,1,W,5,N
294,655.74,826.14,1,W,5,N
296,657.64,826.44,1,W,5,N
297,659.42,826.74,1,W,5,N
349,629.06,827.04,1,E,5,N
353,666.40,827.34,1,E,5,N
356,697.84,827.64,1,E,5,N
520,748.81,830.17,3,E,5,N
457,727.86,830.47,3,W,5,N
458,762.82,830.77,3,W,5,N
459,764.33,831.07,3,W,5,N
357,710.09,839.57,1,E,3,E
199,742.29,842.42,1,S,2,E
