id,lane,entrance_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
1,1,16.00,122.00,1,S,5,N
2,1,20.00,124.00,1,S,5,N
0,0,8.00,124.00,1,S,5,N
3,0,28.00,142.00,1,S,5,N
5,1,171.00,322.00,1,S,5,N
4,0,169.00,324.00,1,S,5,N
7,1,177.00,325.00,1,S,5,N
8,1,182.00,327.00,1,S,5,N
6,0,176.00,328.00,1,S,5,N
11,1,195.00,329.00,1,S,5,N
9,0,185.00,329.00,1,S,5,N
13,1,201.00,330.00,1,S,5,N
10,0,189.00,331.00,1,S,5,N
14,1,209.00,331.00,1,S,5,N
12,0,201.00,334.00,1,S,5,N
15,1,215.00,335.00,1,S,5,N
16,0,218.00,344.00,1,S,5,N
17,0,372.00,523.00,1,S,5,N
18,0,522.00,622.00,1,S,5,N
19,1,527.00,623.00,1,S,5,N
20,0,533.00,642.00,1,S,5,N
21,1,538.00,643.00,1,S,5,N
22,1,543.00,645.00,1,S,5,N
23,0,545.00,645.00,1,S,5,N
24,0,546.00,722.00,1,S,5,N
25,1,682.00,822.00,1,S,5,N
26,0,684.00,824.00,1,S,5,N
28,0,838.00,942.00,1,S,5,N
27,1,837.00,944.00,1,S,5,N
29,0,846.00,948.00,1,S,5,N
30,0,854.00,1021.00,1,S,5,N
31,1,860.00,1023.00,1,S,5,N
33,0,881.00,1024.00,1,S,5,N
32,1,875.00,1025.00,1,S,5,N
35,0,891.00,1026.00,1,S,5,N
34,1,882.00,1027.00,1,S,5,N
37,1,898.00,1028.00,1,S,5,N
39,0,900.00,1029.00,1,S,5,N
38,1,899.00,1030.00,1,S,5,N
36,0,897.00,1031.00,1,S,5,N
40,1,904.00,1031.00,1,S,5,N
