id,enter_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
264,1.93,66.14,5,W,5,N
265,3.95,66.44,5,W,5,N
266,6.19,66.74,5,W,5,N
267,6.86,67.04,5,W,5,N
268,11.20,67.34,5,W,5,N
269,44.45,67.64,5,W,5,N
270,48.44,67.94,5,W,5,N
271,72.75,78.89,5,W,5,N
337,4.05,80.14,5,E,5,N
171,10.01,100.10,1,E,2,E
175,79.36,105.48,1,E,2,W
233,20.37,130.97,3,W,5,N
272,75.35,166.04,5,W,5,N
273,77.80,166.34,5,W,5,N
274,80.23,166.64,5,W,5,N
275,86.19,166.94,5,W,5,N
276,86.25,167.24,5,W,5,N
277,111.10,167.54,5,W,5,N
278,136.10,167.84,5,W,5,N
338,146.03,180.04,5,E,5,N
339,186.82,192.95,5,E,5,N
246,64.56,199.80,3,E,5,W
234,61.60,200.10,3,W,5,W
207,29.11,200.40,2,W,5,W
208,98.13,200.70,2,W,5,W
7,132.07,200.80,1,S,1,W
221,99.05,201.00,2,E,5,W
8,135.82,201.10,1,S,1,W
119,60.97,201.30,1,W,5,W
9,138.61,201.40,1,S,1,W
172,46.69,201.60,1,E,5,W
12,142.26,201.70,1,S,1,W
173,54.99,201.90,1,E,5,W
14,147.70,202.00,1,S,1,W
174,75.95,202.20,1,E,5,W
23,174.09,202.30,1,S,1,W
26,182.08,213.60,1,S,1,E
0,3.98,221.94,1,S,5,N
1,5.20,222.24,1,S,5,N
2,10.95,222.54,1,S,5,N
3,13.09,222.84,1,S,5,N
4,18.25,223.14,1,S,5,N
117,33.94,223.44,1,W,5,N
118,44.92,223.74,1,W,5,N
120,63.88,224.04,1,W,5,N
248,137.33,231.07,3,E,5,N
123,101.07,237.17,1,W,3,W
17,156.23,241.22,1,S,2,W
279,188.85,265.94,5,W,5,N
280,189.62,266.24,5,W,5,N
281,191.01,266.54,5,W,5,N
282,206.87,266.84,5,W,5,N
283,249.87,267.14,5,W,5,N
340,291.75,297.89,5,E,5,N
20,160.72,299.40,1,S,3,W
176,98.13,299.70,1,E,5,W
247,134.99,300.00,3,E,5,W
235,182.44,300.30,3,W,5,W
5,61.23,300.60,1,S,5,W
222,146.92,300.90,2,E,5,W
34,272.19,301.20,1,S,1,W
122,70.90,301.20,1,W,5,W
124,103.57,301.50,1,W,5,W
177,105.65,301.80,1,E,5,W
209,268.66,312.47,2,W,3,W
32,263.25,314.00,1,S,1,E
