time,type,intersection,direction,turning_left,vehicle
0.00,TurnGreenLeft,1,N,null,null
0.00,TurnRedThrough,1,W,null,null
0.00,TurnGreenThrough,2,N,null,null
0.00,TurnRedThrough,2,W,null,null
0.00,TurnRedThrough,2,E,null,null
0.00,TurnGreenLeft,5,N,null,null
0.00,TurnRedThrough,5,W,null,null
0.00,TurnRedThrough,5,E,null,null
0.00,TurnRedLeft,5,E,null,null
0.00,TurnRedThrough,1,E,null,null
0.00,TurnGreenThrough,3,N,null,null
0.00,TurnRedThrough,3,W,null,null
0.00,TurnRedThrough,3,E,null,null
1.93,Enter,5,W,null,264
1.93,Resume,5,W,null,264
1.93,WaitUntil,5,W,true,264
3.95,Enter,5,W,null,265
3.95,Resume,5,W,null,265
3.95,WaitUntil,5,W,true,265
3.98,Enter,1,S,null,0
4.05,Enter,5,E,null,337
4.05,Resume,5,E,null,337
4.05,WaitUntil,5,E,false,337
5.20,Enter,1,S,null,1
6.19,Enter,5,W,null,266
6.19,Resume,5,W,null,266
6.19,WaitUntil,5,W,true,266
6.86,Enter,5,W,null,267
6.86,Resume,5,W,null,267
6.86,WaitUntil,5,W,true,267
10.01,Enter,1,E,null,171
10.01,Resume,1,E,null,171
10.01,WaitUntil,1,E,false,171
10.60,TurnRedLeft,1,N,null,null
10.95,Enter,1,S,null,2
11.20,Enter,5,W,null,268
11.20,Resume,5,W,null,268
11.20,WaitUntil,5,W,true,268
12.40,TurnRedLeft,5,N,null,null
12.80,TurnGreenThrough,1,N,null,null
13.09,Enter,1,S,null,3
16.00,TurnGreenThrough,5,N,null,null
18.12,Resume,1,S,null,0
18.12,WaitUntil,1,S,false,0
18.12,Resume,null,null,null,0
18.12,CheckWait,null,null,null,null
18.25,Enter,1,S,null,4
19.34,Resume,1,S,null,1
19.34,WaitUntil,1,S,false,1
19.34,Resume,null,null,null,1
19.34,CheckWait,null,null,null,null
20.37,Enter,3,W,null,233
20.37,Resume,3,W,null,233
20.37,WaitUntil,3,W,true,233
25.09,Resume,1,S,null,2
25.09,WaitUntil,1,S,false,2
25.09,Resume,null,null,null,2
25.09,CheckWait,null,null,null,null
27.23,Resume,1,S,null,3
27.23,WaitUntil,1,S,true,3
29.11,Enter,2,W,null,207
29.11,Resume,2,W,null,207
29.11,WaitUntil,2,W,true,207
32.39,Resume,1,S,null,4
32.39,WaitUntil,1,S,true,4
33.94,Enter,1,W,null,117
33.94,Resume,1,W,null,117
33.94,WaitUntil,1,W,true,117
44.23,Resume,2,S,null,0
44.23,WaitUntil,2,S,true,0
44.23,Resume,null,null,null,0
44.23,CheckWait,null,null,null,null
44.23,Exit,2,W,null,0
44.45,Enter,5,W,null,269
44.45,Resume,5,W,null,269
44.45,WaitUntil,5,W,true,269
44.70,TurnRedThrough,2,N,null,null
44.92,Enter,1,W,null,118
44.92,Resume,1,W,null,118
44.92,WaitUntil,1,W,true,118
45.45,Resume,2,S,null,1
45.45,WaitUntil,2,S,false,1
46.69,Enter,1,E,null,172
46.69,Resume,1,E,null,172
46.69,WaitUntil,1,E,false,172
48.44,Enter,5,W,null,270
48.44,Resume,5,W,null,270
48.44,WaitUntil,5,W,true,270
51.10,TurnRedThrough,1,N,null,null
51.20,Resume,2,S,null,2
51.20,WaitUntil,2,S,false,2
53.80,TurnRedThrough,5,N,null,null
54.99,Enter,1,E,null,173
54.99,Resume,1,E,null,173
54.99,WaitUntil,1,E,false,173
55.00,TurnGreenLeft,1,E,null,null
55.30,Resume,null,null,null,117
55.30,CheckWait,null,null,null,null
55.60,Resume,null,null,null,118
55.60,CheckWait,null,null,null,null
60.00,TurnGreenLeft,5,E,null,null
60.30,Resume,null,null,null,264
60.30,CheckWait,null,null,null,null
60.60,Resume,null,null,null,265
60.60,CheckWait,null,null,null,null
60.90,Resume,null,null,null,266
60.90,CheckWait,null,null,null,null
60.97,Enter,1,W,null,119
60.97,Resume,1,W,null,119
60.97,WaitUntil,1,W,true,119
60.97,Resume,null,null,null,119
60.97,CheckWait,null,null,null,null
61.20,Resume,null,null,null,267
61.20,CheckWait,null,null,null,null
61.23,Enter,1,S,null,5
61.50,Resume,null,null,null,268
61.50,CheckWait,null,null,null,null
61.60,Enter,3,W,null,234
61.60,Resume,3,W,null,234
61.60,WaitUntil,3,W,true,234
61.80,Resume,null,null,null,269
61.80,CheckWait,null,null,null,null
62.10,Resume,null,null,null,270
62.10,CheckWait,null,null,null,null
63.88,Enter,1,W,null,120
63.88,Resume,1,W,null,120
63.88,WaitUntil,1,W,true,120
63.88,Resume,null,null,null,120
63.88,CheckWait,null,null,null,null
64.10,TurnRedThrough,3,N,null,null
64.56,Enter,3,E,null,246
64.56,Resume,3,E,null,246
64.56,WaitUntil,3,E,false,246
64.80,TurnRedLeft,1,E,null,null
66.44,Exit,5,N,null,264
66.60,TurnGreenThrough,1,E,null,null
66.74,Exit,5,N,null,265
67.04,Exit,5,N,null,266
67.34,Exit,5,N,null,267
67.64,Exit,5,N,null,268
67.80,TurnGreenThrough,1,W,null,null
67.94,Exit,5,N,null,269
68.10,Resume,null,null,null,171
68.10,CheckWait,null,null,null,null
68.24,Exit,5,N,null,270
68.40,Resume,null,null,null,172
68.40,CheckWait,null,null,null,null
68.70,Resume,null,null,null,173
68.70,CheckWait,null,null,null,null
69.10,Enter,1,W,null,121
69.10,Resume,1,W,null,121
69.10,WaitUntil,1,W,true,121
69.20,TurnGreenThrough,3,W,null,null
69.20,TurnGreenThrough,3,E,null,null
69.50,Resume,null,null,null,246
69.50,Resume,null,null,null,233
69.50,CheckWait,null,null,null,null
69.50,CheckWait,null,null,null,null
69.80,Resume,null,null,null,234
69.80,CheckWait,null,null,null,null
70.90,Enter,1,W,null,122
70.90,Resume,1,W,null,122
70.90,WaitUntil,1,W,true,122
72.75,Enter,5,W,null,271
72.75,Resume,5,W,null,271
72.75,WaitUntil,5,W,true,271
72.75,Resume,null,null,null,271
72.75,CheckWait,null,null,null,null
73.40,TurnRedLeft,5,E,null,null
74.00,TurnGreenThrough,5,W,null,null
74.30,Resume,null,null,null,337
74.30,CheckWait,null,null,null,null
75.35,Enter,5,W,null,272
75.35,Resume,5,W,null,272
75.35,WaitUntil,5,W,true,272
75.37,Resume,1,S,null,5
75.37,WaitUntil,1,S,false,5
75.95,Enter,1,E,null,174
75.95,Resume,1,E,null,174
75.95,WaitUntil,1,E,false,174
75.95,Resume,null,null,null,174
75.95,CheckWait,null,null,null,null
76.20,TurnGreenThrough,2,E,null,null
76.20,TurnGreenThrough,2,W,null,null
76.50,Resume,null,null,null,207
76.50,CheckWait,null,null,null,null
77.80,Enter,5,W,null,273
77.80,Resume,5,W,null,273
77.80,WaitUntil,5,W,true,273
78.89,Exit,5,N,null,271
79.36,Enter,1,E,null,175
79.36,Resume,1,E,null,175
79.36,WaitUntil,1,E,false,175
79.36,Resume,null,null,null,175
79.36,CheckWait,null,null,null,null
80.23,Enter,5,W,null,274
80.23,Resume,5,W,null,274
80.23,WaitUntil,5,W,true,274
80.44,Exit,5,N,null,337
81.42,Resume,2,S,null,117
81.42,WaitUntil,2,S,false,117
81.72,Resume,2,S,null,118
81.72,WaitUntil,2,S,false,118
86.19,Enter,5,W,null,275
86.19,Resume,5,W,null,275
86.19,WaitUntil,5,W,true,275
86.25,Enter,5,W,null,276
86.25,Resume,5,W,null,276
86.25,WaitUntil,5,W,true,276
87.09,Resume,2,S,null,119
87.09,WaitUntil,2,S,false,119
89.99,Resume,2,S,null,120
89.99,WaitUntil,2,S,false,120
94.22,Resume,2,S,null,171
94.22,WaitUntil,2,S,false,171
94.52,Resume,2,S,null,172
94.52,WaitUntil,2,S,false,172
94.82,Resume,2,S,null,173
94.82,WaitUntil,2,S,false,173
98.13,Enter,2,W,null,208
98.13,Resume,2,W,null,208
98.13,WaitUntil,2,W,true,208
98.13,Resume,null,null,null,208
98.13,CheckWait,null,null,null,null
98.13,Enter,1,E,null,176
98.13,Resume,1,E,null,176
98.13,WaitUntil,1,E,false,176
98.13,Resume,null,null,null,176
98.13,CheckWait,null,null,null,null
99.05,Enter,2,E,null,221
99.05,Resume,2,E,null,221
99.05,WaitUntil,2,E,false,221
99.05,Resume,null,null,null,221
99.05,CheckWait,null,null,null,null
