id,enter_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
0,3.98,44.23,1,S,2,W
264,1.93,66.44,5,W,5,N
265,3.95,66.74,5,W,5,N
266,6.19,67.04,5,W,5,N
267,6.86,67.34,5,W,5,N
268,11.20,67.64,5,W,5,N
269,44.45,67.94,5,W,5,N
270,48.44,68.24,5,W,5,N
271,72.75,78.89,5,W,5,N
337,4.05,80.44,5,E,5,N
3,13.09,100.70,1,S,1,W
4,18.25,101.00,1,S,1,W
246,64.56,131.27,3,E,5,N
233,20.37,131.27,3,W,5,N
234,61.60,131.57,3,W,5,N
208,98.13,134.20,2,W,3,E
117,33.94,137.07,1,W,3,E
171,10.01,138.27,1,E,3,E
272,75.35,166.34,5,W,5,N
273,77.80,166.64,5,W,5,N
274,80.23,166.94,5,W,5,N
275,86.19,167.24,5,W,5,N
276,86.25,167.54,5,W,5,N
277,111.10,167.84,5,W,5,N
278,136.10,168.14,5,W,5,N
338,146.03,180.34,5,E,5,N
339,186.82,192.95,5,E,5,N
207,29.11,200.10,2,W,5,W
2,10.95,200.40,1,S,5,W
172,46.69,200.70,1,E,5,W
174,75.95,201.00,1,E,5,W
8,135.82,201.10,1,S,1,W
9,138.61,201.40,1,S,1,W
20,160.72,201.70,1,S,1,W
123,101.07,201.70,1,W,2,W
26,182.08,202.00,1,S,1,W
13,144.33,214.80,1,S,1,E
18,159.01,216.30,1,S,1,E
21,164.61,216.90,1,S,1,E
23,174.09,217.50,1,S,1,E
24,175.48,217.80,1,S,1,E
221,99.05,222.24,2,E,5,N
1,5.20,222.54,1,S,5,N
118,44.92,222.84,1,W,5,N
119,60.97,223.14,1,W,5,N
120,63.88,223.44,1,W,5,N
173,54.99,223.74,1,E,5,N
175,79.36,224.04,1,E,5,N
176,98.13,224.34,1,E,5,N
247,134.99,231.07,3,E,5,N
6,131.89,236.57,1,S,3,E
7,132.07,236.87,1,S,3,E
124,103.57,238.07,1,W,3,E
126,110.38,238.67,1,W,3,W
